model,variant,phase,n,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE
BiGRU,with_Ct,Phase 1,33,0.9959036111831665,63.357933861538804,-3.4013242721557617,1.5284164057250729,-15.186967849731445,3.303062959519661,-5.675343990325928,4.381609909794724,0.5600585341453552,139.1718951737383,-3.6518607139587402,25.881970632248883
BiGRU,with_Ct,Phase 2,89,0.9496381282806396,172.6045708856663,-1.5919442176818848,2.296277961207696,-1.6700363159179688,3.5113859262906506,-1.7146990299224854,5.078165189143853,-1.0471231937408447,382.61691432162274,-10.740684509277344,50.22546334249939
BiGRU,with_Ct,Phase 3,60,0.9745875000953674,103.36041311836945,-65.16153717041016,2.7483528579595173,-73.81793212890625,4.950038008110472,-24.217424392700195,4.237972293966622,-13.56191349029541,188.46231179933562,0.17353051900863647,133.59948452604525
BiGRU,with_Ct,Phase 4,100,0.9897304177284241,52.341704717503944,-0.3271017074584961,1.4725322317018663,-0.7437677383422852,2.6746275704925018,0.021773219108581543,2.813696119486559,0.8615078926086426,75.48974216325686,0.6590192317962646,89.34391122318436
BiGRU,without_Ct,Phase 1,33,0.9975451231002808,49.047111440175556,-0.8221997022628784,0.9834402884221676,-2.3622281551361084,1.505385347757281,-0.6476706266403198,2.1768678865801157,0.7348090410232544,108.05215212167225,-1.3948068618774414,18.570313321676466
BiGRU,without_Ct,Phase 2,89,0.9631202220916748,147.70506137654863,0.597318172454834,0.9050918281713106,0.6259258985519409,1.314312999676087,0.4732545018196106,2.236899063991344,-0.5205594301223755,329.7568706638271,-0.5675030946731567,18.351917534613804
BiGRU,without_Ct,Phase 3,60,0.9907824397087097,62.249823512551025,-2.532729387283325,0.6350747866782728,-3.853990077972412,1.2608259130403687,-2.3131840229034424,1.5361390207678107,-1.6388003826141357,80.22663211178691,0.4010809063911438,113.73010643349895
BiGRU,without_Ct,Phase 4,100,0.9655069708824158,95.92626155672909,0.4971964359283447,0.9063833072877718,0.5055550336837769,1.424222914982082,0.4504978060722351,2.1088327346608358,-0.024244308471679688,205.29446267800307,0.8352782726287842,62.097695442720536
BiLSTM,with_Ct,Phase 1,33,0.9986719489097595,36.07485469965974,0.45179688930511475,0.5394122053643821,0.6418054699897766,0.49135293292285015,0.45773810148239136,1.2488245205414044,0.8529651165008545,80.4570926022063,0.7809745073318481,5.6160547974024215
BiLSTM,with_Ct,Phase 2,89,0.9979183673858643,35.09147852733445,0.8318654298782349,0.5848442050321594,0.8621834516525269,0.7977570159063253,0.8431349396705627,1.2207004394501708,0.9149695634841919,77.97930477156262,0.6564252972602844,8.591872575464986
BiLSTM,with_Ct,Phase 3,60,0.9980862736701965,28.364406406291142,-0.08689355850219727,0.3522598767313901,0.33045798540115356,0.468268130897956,0.3907546401023865,0.6587245471894155,0.13042795658111572,46.05407720651615,0.9119790196418762,43.59980216725114
BiLSTM,with_Ct,Phase 4,100,0.9966409802436829,29.93492902256388,0.34465473890304565,1.0347794332767402,0.41121983528137207,1.5541594869057473,0.44703078269958496,2.115475007773527,0.8982348442077637,64.71054088448419,0.9878220558166504,16.884440176338668
BiLSTM,without_Ct,Phase 1,33,0.9869488477706909,113.0900800730882,-0.3550914525985718,0.848075130348633,-1.0213050842285156,1.1672127614996355,-0.41988468170166016,2.020800429662929,-0.4435313940048218,252.09672312923863,-1.6938526630401611,19.695676625451966
BiLSTM,without_Ct,Phase 2,89,0.9594585299491882,154.864267687062,-0.11191439628601074,1.50399819625584,0.3846190571784973,1.6857455281301985,0.38508039712905884,2.4168803241159114,-0.6594122648239136,344.4841932150153,-4.745140552520752,35.13399816628386
BiLSTM,without_Ct,Phase 3,60,0.9840731024742126,81.82690321553022,-5.338571071624756,0.8506783261145346,-4.100159168243408,1.2924018377662327,-4.153237342834473,1.9157896384950106,-6.7624735832214355,137.5990268406721,0.326803982257843,120.57635029308193
BiLSTM,without_Ct,Phase 4,100,0.9634140729904175,98.7936315792926,0.41693687438964844,0.9760464945334145,0.3926547169685364,1.5784718349531088,0.4573283791542053,2.0956849224512384,-0.012828230857849121,204.14716849922263,0.6959831714630127,84.36238042201482
GRU,with_Ct,Phase 1,33,0.9947323799133301,71.84705299062377,-0.41852855682373047,0.867698896676567,-0.5126698017120361,1.0097320964271541,0.08717930316925049,1.6202782475558213,0.41600561141967773,160.3461100245341,0.3422074317932129,9.732591003259037
GRU,with_Ct,Phase 2,89,0.9871834516525269,87.07371607580556,0.5178209543228149,0.9904118365719793,0.48553627729415894,1.5413361616097696,0.4077315330505371,2.3719486913680115,0.47908610105514526,193.00791353594806,-2.016521692276001,25.45836276871082
GRU,with_Ct,Phase 3,60,0.9905186891555786,63.13430663140386,-0.9517308473587036,0.47204092657934915,-0.24529600143432617,0.6386192370080226,-0.16995537281036377,0.9128352346334901,-2.3940393924713135,90.9858226421842,0.460568368434906,107.93432428738784
GRU,with_Ct,Phase 4,100,0.9842735528945923,64.77196704473124,0.45722323656082153,0.9417233704624024,0.4478745460510254,1.5050047986533885,0.5625261068344116,1.881626879685627,0.5672187805175781,133.44724788750796,0.8649214506149292,56.233252715252924
GRU,without_Ct,Phase 1,33,0.9952552318572998,68.18800841927779,-2.616870880126953,1.385531838967038,-10.282092094421387,2.757584948783239,-3.5610618591308594,3.621845056312939,0.4748135209083557,152.058550349446,0.28072959184646606,10.17724167782928
GRU,without_Ct,Phase 2,89,0.951548159122467,169.29987955917156,-0.3411301374435425,1.651760566549451,-0.23337531089782715,2.3865339391801843,-0.426188588142395,3.6807342789800104,-0.9894129037857056,377.1851750135469,-3.754847526550293,31.962852851432768
GRU,without_Ct,Phase 3,60,0.9892523288726807,67.21831052273815,-2.188474416732788,0.6033386662372223,-1.3848958015441895,0.8837723029639339,-0.7633947134017944,1.1206822720140257,-2.924626111984253,97.83954797747944,0.39728444814682007,114.09000096552063
GRU,without_Ct,Phase 4,100,0.98243647813797,68.45060876167392,0.48343998193740845,0.9186987064601188,0.5287061929702759,1.3904803768777378,0.553985595703125,1.899904916291467,0.5394623279571533,137.66008436770989,0.8090235590934753,66.86362344821734
LSTM_uni,with_Ct,Phase 1,33,0.9903858304023743,97.0636369057692,-0.3869534730911255,0.8579874801744891,-1.1750688552856445,1.210794944986025,-0.6920229196548462,2.2059720088465986,-0.06753242015838623,216.7926807026704,0.3013038635253906,10.030628981336637
LSTM_uni,with_Ct,Phase 2,89,0.9831302762031555,99.89761848856809,0.45912909507751465,1.048958825291528,0.3791623115539551,1.6932030135917566,0.30540716648101807,2.568686669675812,0.3180081248283386,220.842040905372,-4.19368314743042,33.405268855446856
LSTM_uni,with_Ct,Phase 3,60,0.992350697517395,56.707609098669465,-0.8504523038864136,0.45963029255230603,-1.4158177375793457,0.8894832721571827,-1.3722097873687744,1.2998232134409475,-1.8044393062591553,82.70624669387132,0.5723491907119751,96.10279937064789
LSTM_uni,with_Ct,Phase 4,100,0.9776009917259216,77.30124463341454,0.2088092565536499,1.1369812652433386,0.29972171783447266,1.694939989923758,0.29218482971191406,2.39341134646399,0.3431410789489746,164.40366313779325,0.8787285685539246,53.28184796218713
