model,variant,regime,n,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE
BiGRU,with_Ct,baseline,45,0.997017502784729,39.683375154740496,0.7775753736495972,1.5120898833579284,0.6783640384674072,2.9455708762250543,0.7516958117485046,3.7420756217781657,0.9871562123298645,75.3222277171968,-0.6934828758239746,46.641690209779064
BiGRU,with_Ct,onset,237,0.9682687520980835,123.72711278252636,-0.22964632511138916,2.1675885391191416,-0.34293174743652344,3.704536523079517,0.1463295817375183,4.193542448044351,0.5051959753036499,260.7522171526064,0.5384948253631592,92.27286831221028
BiGRU,without_Ct,baseline,45,0.9884064197540283,78.23970953702154,0.9518640041351318,0.7034304697031992,0.9727160930633545,0.8579075856135007,0.9152363538742065,2.1863787365934293,0.9322104454040527,173.04454357910276,0.48868727684020996,25.628735674729572
BiGRU,without_Ct,onset,237,0.9746514558792114,110.58533893559309,0.7913912534713745,0.8927975975344407,0.7961850762367249,1.4431946780506302,0.800727367401123,2.0260949082884983,0.5911023616790771,237.03840834609483,0.7316160202026367,70.36618783638204
BiLSTM,with_Ct,baseline,45,0.998472273349762,28.40172887563361,0.9316660165786743,0.8381167375696374,0.9614887833595276,1.019249888214487,0.9603333473205566,1.4956611027646336,0.9914420247077942,61.48406329336489,0.8061478137969971,15.780443590163863
BiLSTM,with_Ct,onset,237,0.9977774024009705,32.74530694547121,0.864222526550293,0.7202787726526548,0.8874631524085999,1.0723936355417614,0.8859176635742188,1.5330105217151417,0.965280294418335,69.07160573455637,0.968216598033905,24.215090449320027
BiLSTM,without_Ct,baseline,45,0.9746720194816589,115.64272668168543,0.9194421768188477,0.9099970666083541,0.9525921940803528,1.1308681770996767,0.9624912142753601,1.454411255270251,0.8524104952812195,255.33146349402378,-0.2983201742172241,40.83896927118524
BiLSTM,without_Ct,onset,237,0.9708540439605713,118.57970519601994,0.6394808292388916,1.1736833479931912,0.7565168142318726,1.5773984539641084,0.7503504753112793,2.2677820920594267,0.5385229587554932,251.81780523078586,0.6268338561058044,82.97301366163428
GRU,with_Ct,baseline,45,0.9902311563491821,71.81890813989203,0.9096994400024414,0.9634549729120448,0.9232965707778931,1.438449048765216,0.9561410546302795,1.5727138851726554,0.9438522458076477,157.48627792406234,0.23525941371917725,31.34302657596114
GRU,with_Ct,onset,237,0.988877534866333,73.25229305284579,0.8095896244049072,0.8529666208665853,0.8336257934570312,1.303916840598842,0.819733738899231,1.927050622885832,0.8364784121513367,149.89908063427208,0.7640177011489868,65.98199772239016
GRU,without_Ct,baseline,45,0.9908909797668457,69.35121354606926,0.8529980778694153,1.2292711515253554,0.8230597972869873,2.1847431794869943,0.844258189201355,2.9636240826473035,0.9476951956748962,152.0013042193224,0.2772129774093628,30.471163766568917
GRU,without_Ct,onset,237,0.9717713594436646,116.69881857933481,0.6196737289428711,1.2054935277245342,0.676596462726593,1.8179388983963713,0.6559534072875977,2.6622238302500176,0.5438682436943054,250.3551617827162,0.7071112394332886,73.5084165567964
LSTM_uni,with_Ct,baseline,45,0.9814385175704956,98.99758322492019,0.92090904712677,0.9016741956148513,0.9463008642196655,1.2035687606655823,0.9301714897155762,1.98443567378484,0.8915534615516663,218.869092581616,0.14936214685440063,33.05644992790268
LSTM_uni,with_Ct,onset,237,0.9864563941955566,80.83303465902725,0.7486850023269653,0.9799320226078656,0.7633695602416992,1.5550423988621376,0.7450298070907593,2.291820544076259,0.7896852493286133,169.9989659895024,0.7961064577102661,61.33205202395196
LSTM_uni,without_Ct,baseline,45,0.9773897528648376,109.26233482998613,0.8801819086074829,1.1098066752708915,0.9153618812561035,1.5110196806246388,0.9385450482368469,1.8616541509910538,0.8699619770050049,239.6689366996691,-0.7461578845977783,47.36151945821233
LSTM_uni,without_Ct,onset,237,0.9732537269592285,113.59328576246266,0.6694203615188599,1.123892503895909,0.6959437131881714,1.7627223638852243,0.7034491300582886,2.471641874834233,0.5791503190994263,240.47776339507985,0.6380742788314819,81.71380840699447
VanillaRNN,with_Ct,baseline,45,0.9723659157752991,120.79257708852602,0.8413623571395874,1.2769952701161373,0.9105913043022156,1.553019947206377,0.7703033685684204,3.5991328519619525,0.8396118879318237,266.1722157504423,-0.62664794921875,45.71204506968732
VanillaRNN,with_Ct,onset,237,0.9733834862709045,113.31749420185525,0.7198211550712585,1.0346760913769477,0.6769224405288696,1.8170225348998796,0.7068156003952026,2.457572355864189,0.5837416648864746,239.1623892619824,0.6208340525627136,83.63737763404589
VanillaRNN,without_Ct,baseline,45,0.9452130794525146,170.08118465897397,0.21332859992980957,2.843693826979973,0.46547406911849976,3.797270828775624,0.5366876125335693,5.11160780156465,0.6813790798187256,375.1576127109778,-1.994079828262329,62.01768585955945
