variant,type,n_feats,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE,lead_min
Lead_T+1min,lead_time,68,0.9972,38.0634,0.9224,0.7117,0.9566,0.8685,0.9452,1.4053,0.9684,80.5949,0.9527,27.3006,1
Lead_T+3min,lead_time,68,0.9966,42.1018,0.9333,0.6475,0.9412,0.9941,0.9401,1.4499,0.9609,88.7254,0.9374,31.4185,3
Lead_T+5min,lead_time,68,0.9953,48.6502,0.919,0.7042,0.9192,1.1494,0.9087,1.7693,0.9449,103.945,0.9351,32.0109,5
Lead_T+10min,lead_time,68,0.9899,70.2935,0.8384,0.9467,0.8744,1.3678,0.8597,2.0875,0.8773,151.1246,0.8827,43.129,10
Lead_T+15min,lead_time,68,0.986,81.2026,0.764,1.0942,0.7897,1.6971,0.7954,2.4043,0.8484,162.9917,0.5979,79.9571,15
Lead_T+20min,lead_time,68,0.9841,84.8896,0.7169,1.1292,0.7502,1.7333,0.7736,2.3898,0.8166,173.3921,0.6262,77.1779,20
