lead_min,n_test,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE
1,58,-9.9986,63.9031,-6.6828,2.3334,-6.2669,3.2707,-8.8857,5.0178,-22.1585,278.1112,-5.9992,30.7822
3,58,-9.4912,46.6491,-7.903,2.5119,-8.146,3.6692,-11.2068,5.5759,-8.7474,180.4298,-11.4528,41.0589
5,58,-9.8237,45.8687,-8.6054,2.6091,-8.7515,3.7888,-12.0442,5.764,-8.2925,176.1689,-11.4249,41.0129
10,58,-11.5786,63.0128,-8.9538,2.6559,-9.3228,3.8982,-13.5241,6.0821,-21.7183,275.4552,-4.374,26.9726
15,58,-22.854,119.9704,-4.3128,1.9404,-4.4094,2.8219,-6.6056,4.4013,-98.3648,576.0753,-0.5774,14.6132
20,58,-20.9932,113.511,-4.5198,1.9778,-4.9646,2.9631,-7.1089,4.5446,-88.3386,546.2387,-0.0339,11.8306
